User ID,Date,Day,Show,Season,Episode,Time Watched,Gender,Completed,Time of Day
25535,2/9/2019,Saturday,Stranger Things,2,5,51,Male,1,0
20366,2/9/2019,Saturday,Stranger Things,1,3,38,Female,1,0
91813,2/9/2019,Saturday,Stranger Things,2,1,2,Female,0,0
86920,2/9/2019,Saturday,Stranger Things,1,4,10,Female,0,0
117497,2/9/2019,Saturday,Stranger Things,1,5,58,Female,1,1
116893,2/9/2019,Saturday,Stranger Things,2,8,39,Female,1,1
123206,2/9/2019,Saturday,Stranger Things,2,2,38,Female,1,0
35930,2/9/2019,Saturday,Stranger Things,1,3,24,Female,0,1
25345,2/9/2019,Saturday,Stranger Things,1,3,16,Male,0,0
2649,2/9/2019,Saturday,Stranger Things,2,5,19,Male,0,1
112813,2/9/2019,Saturday,Stranger Things,1,8,22,Male,0,1
115083,2/9/2019,Saturday,Stranger Things,1,3,48,Female,1,1
13393,2/9/2019,Saturday,Stranger Things,2,1,5,Female,0,1
65575,2/9/2019,Saturday,Stranger Things,1,9,9,Female,0,1
95014,2/9/2019,Saturday,Stranger Things,1,9,43,Male,1,0
55322,2/9/2019,Saturday,Stranger Things,1,10,9,Female,0,1
76447,2/9/2019,Saturday,Stranger Things,2,7,24,Male,0,0
60928,2/9/2019,Saturday,Stranger Things,2,3,52,Male,1,0
61436,2/9/2019,Saturday,Stranger Things,2,2,17,Female,0,1
53084,2/9/2019,Saturday,Stranger Things,1,7,55,Female,1,1
50674,2/9/2019,Saturday,Stranger Things,2,2,41,Female,1,1
60124,2/9/2019,Saturday,Stranger Things,1,8,41,Male,1,0
17430,2/9/2019,Saturday,Stranger Things,1,9,22,Female,0,0
43068,2/9/2019,Saturday,Stranger Things,1,1,14,Male,0,0
24946,2/9/2019,Saturday,Stranger Things,1,2,6,Female,0,1
32949,2/9/2019,Saturday,Stranger Things,1,9,23,Female,0,1
12801,2/9/2019,Saturday,Stranger Things,2,5,37,Female,1,0
71102,2/9/2019,Saturday,Stranger Things,1,10,48,Male,1,0
18787,2/9/2019,Saturday,Stranger Things,1,9,8,Female,0,0
71261,2/9/2019,Saturday,Stranger Things,2,4,40,Female,1,0
39620,2/9/2019,Saturday,Stranger Things,1,5,28,Female,0,1
25140,2/9/2019,Saturday,Stranger Things,2,7,11,Male,0,0
93116,2/9/2019,Saturday,Stranger Things,1,10,36,Male,1,0
102985,2/9/2019,Saturday,Stranger Things,1,6,57,Female,1,1
77556,2/9/2019,Saturday,Stranger Things,1,3,15,Female,0,1
16415,2/9/2019,Saturday,Stranger Things,2,3,11,Male,0,1
34098,2/9/2019,Saturday,Stranger Things,1,2,38,Female,1,0
89441,2/9/2019,Saturday,Stranger Things,1,3,30,Male,1,0
76366,2/9/2019,Saturday,Stranger Things,2,10,20,Female,0,0
118928,2/9/2019,Saturday,Stranger Things,2,3,8,Male,0,1
47558,2/9/2019,Saturday,Stranger Things,1,3,60,Male,1,1
5913,2/9/2019,Saturday,Stranger Things,1,4,38,Female,1,1
32173,2/9/2019,Saturday,Stranger Things,2,1,10,Female,0,0
17518,2/9/2019,Saturday,Stranger Things,1,5,19,Female,0,1
15929,2/9/2019,Saturday,Stranger Things,2,1,2,Female,0,0
30136,2/9/2019,Saturday,Stranger Things,2,10,12,Male,0,1
67826,2/9/2019,Saturday,Stranger Things,1,7,27,Male,0,0
52651,2/9/2019,Saturday,Stranger Things,1,4,16,Female,0,0
3673,2/9/2019,Saturday,Stranger Things,1,4,38,Female,1,0
66369,2/9/2019,Saturday,Stranger Things,1,5,19,Male,0,1
17946,2/9/2019,Saturday,Stranger Things,1,2,33,Female,1,1
49640,2/9/2019,Saturday,Stranger Things,2,4,29,Female,0,1
77684,2/9/2019,Saturday,Stranger Things,2,9,25,Female,0,1
110289,2/9/2019,Saturday,Stranger Things,2,7,34,Female,1,0
108692,2/9/2019,Saturday,Stranger Things,1,5,18,,0,1
14569,2/9/2019,Saturday,Stranger Things,1,8,39,Male,1,1
117457,2/9/2019,Saturday,Stranger Things,2,7,23,Male,0,0
123200,2/9/2019,Saturday,Stranger Things,2,8,41,Female,1,1
82081,2/9/2019,Saturday,Stranger Things,2,6,36,,1,0
370,2/9/2019,Saturday,Stranger Things,2,3,15,Male,0,1
116661,2/9/2019,Saturday,Stranger Things,1,5,30,Male,1,1
13042,2/9/2019,Saturday,Stranger Things,1,8,31,Male,1,0
42598,2/9/2019,Saturday,Stranger Things,1,6,57,Male,1,0
52923,2/9/2019,Saturday,Stranger Things,1,6,59,Male,1,0
59256,2/9/2019,Saturday,Stranger Things,1,5,35,Male,1,1
90553,2/9/2019,Saturday,Stranger Things,1,9,40,Male,1,0
36600,2/9/2019,Saturday,Stranger Things,1,2,60,Female,1,1
32469,2/9/2019,Saturday,Stranger Things,2,2,13,Male,0,0
109796,2/9/2019,Saturday,Stranger Things,2,8,51,Male,1,1
91007,2/9/2019,Saturday,Stranger Things,1,6,58,Female,1,0
3927,2/9/2019,Saturday,Stranger Things,2,5,4,Male,0,0
75411,2/9/2019,Saturday,Stranger Things,1,3,59,Female,1,0
15691,2/9/2019,Saturday,Stranger Things,2,1,31,Male,1,0
34526,2/9/2019,Saturday,Stranger Things,2,2,6,Female,0,1
104094,2/9/2019,Saturday,Stranger Things,2,7,39,Female,1,0
51959,2/9/2019,Saturday,Stranger Things,2,4,55,Female,1,1
87935,2/9/2019,Saturday,Stranger Things,2,1,23,Female,0,1
26925,2/9/2019,Saturday,Stranger Things,2,9,49,Female,1,1
17341,2/9/2019,Saturday,Stranger Things,2,6,21,Male,0,1
54951,2/9/2019,Saturday,Stranger Things,2,3,14,Male,0,1
28431,2/9/2019,Saturday,Stranger Things,1,10,55,Male,1,0
30125,2/9/2019,Saturday,Stranger Things,2,5,27,Female,0,1
41954,2/9/2019,Saturday,Stranger Things,2,1,32,Female,1,1
89146,2/9/2019,Saturday,Stranger Things,1,10,53,Female,1,0
90806,2/9/2019,Saturday,Stranger Things,2,9,49,Male,1,1
47145,2/9/2019,Saturday,Stranger Things,1,5,43,Female,1,0
99199,2/9/2019,Saturday,Stranger Things,2,1,25,Female,0,0
32189,2/9/2019,Saturday,Friends,8,8,7,Female,0,0
62952,2/9/2019,Saturday,Friends,3,3,9,Female,0,0
98135,2/9/2019,Saturday,Friends,10,1,11,Female,0,0
101510,2/9/2019,Saturday,Friends,3,2,28,Male,0,0
73765,2/9/2019,Saturday,Friends,2,4,19,Female,0,0
109864,2/9/2019,Saturday,Friends,7,7,21,Female,0,1
110071,2/9/2019,Saturday,Friends,4,5,26,Male,0,1
49466,2/9/2019,Saturday,Friends,6,8,6,Male,0,1
69676,2/9/2019,Saturday,Friends,8,3,1,Female,0,0
63846,2/9/2019,Saturday,Friends,7,6,28,Female,0,0
40092,2/9/2019,Saturday,Friends,4,6,28,Female,0,1
39410,2/9/2019,Saturday,Friends,7,1,30,Male,1,0
23247,2/9/2019,Saturday,Friends,10,4,9,Female,0,1
25260,2/9/2019,Saturday,Friends,8,3,3,Female,0,1
114331,2/9/2019,Saturday,Friends,6,7,28,Female,0,1
11499,2/9/2019,Saturday,Friends,7,10,2,Female,0,1
10986,2/9/2019,Saturday,Friends,6,9,15,Female,0,1
81952,2/9/2019,Saturday,Friends,5,7,11,Female,0,1
118100,2/9/2019,Saturday,Friends,7,1,21,Female,0,1
60131,2/9/2019,Saturday,Friends,10,10,25,Female,0,0
9224,2/9/2019,Saturday,Friends,2,3,20,Female,0,0
99561,2/9/2019,Saturday,Friends,3,6,25,Male,0,1
46234,2/9/2019,Saturday,Friends,6,9,2,Female,0,1
20816,2/9/2019,Saturday,Friends,8,7,29,Female,0,1
69131,2/9/2019,Saturday,Friends,6,10,22,Male,0,1
82839,2/9/2019,Saturday,Friends,1,4,27,Female,0,0
58747,2/9/2019,Saturday,Friends,3,4,21,Male,0,1
98099,2/9/2019,Saturday,Friends,2,6,21,Male,0,0
53298,2/9/2019,Saturday,Friends,3,10,11,Male,0,0
98894,2/9/2019,Saturday,Friends,1,8,17,Male,0,0
13680,2/9/2019,Saturday,Friends,6,8,1,Male,0,1
12361,2/9/2019,Saturday,Friends,7,6,10,Male,0,1
35982,2/9/2019,Saturday,Friends,4,8,23,Male,0,1
73421,2/9/2019,Saturday,Friends,7,1,14,Female,0,1
74584,2/9/2019,Saturday,Friends,1,9,18,Male,0,1
72567,2/9/2019,Saturday,Friends,10,2,19,Male,0,1
73495,2/9/2019,Saturday,Friends,8,10,8,Female,0,1
3550,2/9/2019,Saturday,Friends,4,5,5,Female,0,0
61311,2/9/2019,Saturday,Friends,6,6,1,Male,0,0
108804,2/9/2019,Saturday,Friends,7,6,16,Male,0,0
4525,2/9/2019,Saturday,Friends,8,6,5,Male,0,1
60787,2/9/2019,Saturday,Friends,6,7,14,Female,0,1
68962,2/9/2019,Saturday,Friends,8,5,14,Male,0,1
46317,2/9/2019,Saturday,Friends,1,8,7,Female,0,0
73573,2/9/2019,Saturday,Friends,1,4,27,Male,0,1
97248,2/9/2019,Saturday,Friends,10,6,1,Male,0,0
95514,2/9/2019,Saturday,Friends,9,1,5,Male,0,1
531,2/9/2019,Saturday,Friends,5,5,23,Female,0,0
51201,2/9/2019,Saturday,Friends,2,7,10,Male,0,0
121665,2/9/2019,Saturday,Friends,8,8,3,Male,0,0
72839,2/9/2019,Saturday,Friends,7,2,11,Female,0,1
106127,2/9/2019,Saturday,Friends,4,5,16,Female,0,0
22041,2/9/2019,Saturday,Friends,2,10,9,Male,0,1
79849,2/9/2019,Saturday,Friends,8,3,27,Male,0,0
75962,2/9/2019,Saturday,Friends,5,8,20,Male,0,0
30524,2/9/2019,Saturday,Friends,8,8,12,Male,0,1
21405,2/9/2019,Saturday,Friends,8,4,4,Female,0,1
74355,2/9/2019,Saturday,Friends,10,8,29,Male,0,0
11139,2/9/2019,Saturday,Friends,1,6,20,Female,0,0
87385,2/9/2019,Saturday,Friends,4,10,14,Male,0,1
44101,2/9/2019,Saturday,Friends,9,5,15,Female,0,1
39983,2/9/2019,Saturday,Friends,1,8,19,Male,0,0
82580,2/9/2019,Saturday,Friends,5,9,28,Female,0,0
57365,2/9/2019,Saturday,Friends,9,4,30,Male,1,0
118415,2/9/2019,Saturday,Friends,5,8,28,Female,0,1
69570,2/9/2019,Saturday,Friends,10,3,22,Male,0,0
29037,2/9/2019,Saturday,Friends,2,3,23,Male,0,1
44624,2/9/2019,Saturday,Friends,10,6,28,Male,0,0
8310,2/9/2019,Saturday,Friends,7,5,28,Male,0,1
38119,2/9/2019,Saturday,Friends,1,3,6,Male,0,1
105997,2/9/2019,Saturday,Friends,9,10,8,Male,0,1
93086,2/9/2019,Saturday,Friends,7,4,25,Female,0,1
40392,2/9/2019,Saturday,Friends,5,2,7,Female,0,0
124156,2/9/2019,Saturday,Friends,4,8,29,Male,0,0
106198,2/9/2019,Saturday,Friends,5,4,14,Male,0,1
19385,2/9/2019,Saturday,Friends,5,7,13,Male,0,0
94972,2/9/2019,Saturday,Orange Is The New Black,4,8,7,Male,0,0
55552,2/9/2019,Saturday,Orange Is The New Black,5,7,7,Female,0,0
57847,2/9/2019,Saturday,Orange Is The New Black,1,3,30,Male,0,1
107568,2/9/2019,Saturday,Orange Is The New Black,3,5,44,Male,0,1
16170,2/9/2019,Saturday,Orange Is The New Black,4,9,23,Female,0,0
19475,2/9/2019,Saturday,Orange Is The New Black,4,2,13,Male,0,0
83105,2/9/2019,Saturday,Orange Is The New Black,2,10,20,Female,0,0
55810,2/9/2019,Saturday,Orange Is The New Black,4,6,20,Female,0,0
80781,2/9/2019,Saturday,Orange Is The New Black,3,4,27,Female,0,1
100904,2/9/2019,Saturday,Orange Is The New Black,1,5,44,Male,0,0
91045,2/9/2019,Saturday,Orange Is The New Black,1,7,25,Female,0,1
123466,2/9/2019,Saturday,Orange Is The New Black,2,8,19,Male,0,0
65372,2/9/2019,Saturday,Orange Is The New Black,1,5,59,Female,1,1
63229,2/9/2019,Saturday,Orange Is The New Black,5,7,26,Male,0,0
106791,2/9/2019,Saturday,Orange Is The New Black,2,2,48,Female,0,1
67381,2/9/2019,Saturday,Orange Is The New Black,1,4,14,Male,0,0
114715,2/9/2019,Saturday,Orange Is The New Black,3,4,29,Female,0,1
76592,2/9/2019,Saturday,Orange Is The New Black,3,7,55,Female,1,0
98073,2/9/2019,Saturday,Orange Is The New Black,4,7,37,Female,0,1
40245,2/9/2019,Saturday,Orange Is The New Black,5,9,43,Male,0,1
2211,2/9/2019,Saturday,Orange Is The New Black,,1,55,Female,1,
6527,2/9/2019,Saturday,Orange Is The New Black,,7,20,Male,0,
10611,2/9/2019,Saturday,Orange Is The New Black,,1,43,Female,0,0
30587,2/9/2019,Saturday,Orange Is The New Black,1,1,42,Female,0,1
123053,2/9/2019,Saturday,Orange Is The New Black,5,5,29,Female,0,1
96684,2/9/2019,Saturday,Orange Is The New Black,4,3,36,Male,0,0
37946,2/9/2019,Saturday,Orange Is The New Black,1,1,24,Female,0,0
77286,2/9/2019,Saturday,Orange Is The New Black,2,7,46,Male,0,1
31398,2/9/2019,Saturday,Orange Is The New Black,1,1,14,Male,0,1
107823,2/9/2019,Saturday,Orange Is The New Black,3,4,4,Male,0,0
9732,2/9/2019,Saturday,Orange Is The New Black,3,10,9,Male,0,0
42856,2/9/2019,Saturday,Orange Is The New Black,1,7,42,Female,0,1
30885,2/9/2019,Saturday,Orange Is The New Black,2,9,29,Female,0,0
64217,2/9/2019,Saturday,Orange Is The New Black,2,1,7,Female,0,1
64619,2/9/2019,Saturday,Orange Is The New Black,5,6,52,Female,1,0
78169,2/9/2019,Saturday,Orange Is The New Black,2,10,54,Male,1,0
25870,2/9/2019,Saturday,Orange Is The New Black,1,8,57,Male,1,1
100249,2/9/2019,Saturday,Orange Is The New Black,2,1,45,Male,0,1
21023,2/9/2019,Saturday,Orange Is The New Black,3,9,43,Male,0,1
11290,2/9/2019,Saturday,Orange Is The New Black,3,5,47,Male,0,0
13209,2/9/2019,Saturday,Orange Is The New Black,5,3,11,Male,0,0
10158,2/9/2019,Saturday,Orange Is The New Black,5,8,2,Male,0,0
93694,2/9/2019,Saturday,Orange Is The New Black,3,9,19,Female,0,0
114820,2/9/2019,Saturday,Orange Is The New Black,1,2,3,Female,0,1
73719,2/9/2019,Saturday,Orange Is The New Black,5,5,49,Female,0,1
44234,2/9/2019,Saturday,Orange Is The New Black,1,4,53,Female,1,0
55343,2/9/2019,Saturday,Orange Is The New Black,3,10,47,Female,0,0
4362,2/9/2019,Saturday,Orange Is The New Black,3,8,6,Male,0,0
64435,2/9/2019,Saturday,Orange Is The New Black,5,2,20,Male,0,1
